I0130 05:53:40.840462    6013 serve.go:43] cloudcode_cli (Jan 21 2025 17:43:36 -0800, cl:718125841 baseline:716751907)
I0130 05:53:40.840960    6013 serve.go:44] Command line: ["/home/jerushastewa2022/.cache/cloud-code/cloudcode_cli/cloudcode_cli/linux_amd64/cloudcode_cli" "duet" "-logtostderr"]
I0130 05:53:40.843240    6013 life_cycle.go:166] Initializing. Architecture: "amd64", Operating system: "linux"
I0130 05:53:41.157403    6013 configuration.go:182] product updateChannel will be used
W0130 05:53:41.157446    6013 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0130 05:53:41.157461    6013 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0130 05:53:41.157488    6013 configuration.go:642] language thresholds: map[]
I0130 05:53:41.157505    6013 configuration.go:600] dataFileExtensions array: [.csv .tsv .jsonl]
I0130 05:53:41.157530    6013 configuration.go:845] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000e45261 StopSequences:map[] DataFilePromptLines:0}
I0130 05:53:41.157565    6013 configuration.go:845] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000e45271 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0130 05:53:41.157695    6013 configuration.go:270] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0130 05:53:41.157765    6013 configuration.go:278] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false}
I0130 05:53:41.157777    6013 configuration.go:282] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0130 05:53:41.157816    6013 configuration.go:284] Configured settings for canCancelRequests: true
I0130 05:53:41.157826    6013 configuration.go:286] Configured settings for contextPromptOpts: &{Endpoint:}
W0130 05:53:41.158679    6013 configuration.go:290] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0130 05:57:10.290931    6013 server.go:633] unknown method "$/setTrace"
I0130 05:57:10.306871    6013 configuration.go:182] product updateChannel will be used
W0130 05:57:10.306925    6013 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0130 05:57:10.306939    6013 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0130 05:57:10.306963    6013 configuration.go:642] language thresholds: map[]
I0130 05:57:10.306981    6013 configuration.go:600] dataFileExtensions array: [.csv .tsv .jsonl]
I0130 05:57:10.307007    6013 configuration.go:845] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000e447c1 StopSequences:map[] DataFilePromptLines:0}
I0130 05:57:10.307099    6013 configuration.go:845] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000e447d1 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0130 05:57:10.307169    6013 configuration.go:270] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0130 05:57:10.307190    6013 configuration.go:278] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false}
I0130 05:57:10.307203    6013 configuration.go:282] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0130 05:57:10.307242    6013 configuration.go:284] Configured settings for canCancelRequests: true
I0130 05:57:10.307254    6013 configuration.go:286] Configured settings for contextPromptOpts: &{Endpoint:}
W0130 05:57:10.311864    6013 configuration.go:290] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0130 05:57:10.311913    6013 configuration.go:792] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0130 05:57:10.311932    6013 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0130 05:57:10.311942    6013 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
