2025-02-23 00:11:58.510 [warning] Dir "/home/jerushastewa2022/.pixi/envs" is not watchable (directory does not exist)
2025-02-23 00:11:58.894 [info] Python interpreter path: /bin/python
2025-02-23 00:11:59.300 [info] > pyenv which python
2025-02-23 00:11:59.300 [info] cwd: .
2025-02-23 00:12:06.453 [info] Starting Jedi language server for jerushastewa2022.
2025-02-23 00:12:44.646 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:12:54.198 [info] Send text to terminal: /bin/python /home/jerushastewa2022/main.py
2025-02-23 00:28:07.369 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:28:08.928 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:28:10.933 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:28:12.327 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:28:29.567 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:28:32.759 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:28:34.730 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:29:58.322 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:30:00.416 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:30:44.688 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:31:03.900 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:31:09.031 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:32:04.862 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:32:22.771 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:32:35.630 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:32:40.887 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:32:46.808 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:32:51.917 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:33:11.675 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:33:13.090 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:33:15.072 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:33:16.914 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:33:46.795 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:33:50.546 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:33:53.858 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:34:07.803 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:34:11.101 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:34:16.258 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:34:18.167 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:34:30.412 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:34:43.158 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:34:46.728 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:34:49.742 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:34:56.407 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:35:18.589 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:35:21.950 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:35:24.524 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:36:11.749 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
2025-02-23 00:36:13.883 [info] Discover tests for workspace name: jerushastewa2022 - uri: /home/jerushastewa2022/main.py
